question_number,arabic,english,answer,relevancy,surah_number,ayah_start,ayah_end,quran_passage_arabic,quran_passage_english
101,من هم قوم شعيب؟,Who were the people of Shu'ayb?,7:85-93,1,7,85,93,وإلى مدين أخاهم شعيبا قال يا قوم اعبدوا الله ما لكم من إله غيره قد جاءتكم بينة من ربكم فأوفوا الكيل والميزان ولا تبخسوا الناس أشياءهم ولا تفسدوا في الأرض بعد إصلاحها ذلكم خير لكم إن كنتم مؤمنين. ولا تقعدوا بكل صراط توعدون وتصدون عن سبيل الله من آمن به وتبغونها عوجا واذكروا إذ كنتم قليلا فكثركم وانظروا كيف كان عاقبة المفسدين. وإن كان طائفة منكم آمنوا بالذي أرسلت به وطائفة لم يؤمنوا فاصبروا حتى يحكم الله بيننا وهو خير الحاكمين. قال الملأ الذين استكبروا من قومه لنخرجنك يا شعيب والذين آمنوا معك من قريتنا أو لتعودن في ملتنا قال أولو كنا كارهين. قد افترينا على الله كذبا إن عدنا في ملتكم بعد إذ نجانا الله منها وما يكون لنا أن نعود فيها إلا أن يشاء الله ربنا وسع ربنا كل شيء علما على الله توكلنا ربنا افتح بيننا وبين قومنا بالحق وأنت خير الفاتحين. وقال الملأ الذين كفروا من قومه لئن اتبعتم شعيبا إنكم إذا لخاسرون. فأخذتهم الرجفة فأصبحوا في دارهم جاثمين. الذين كذبوا شعيبا كأن لم يغنوا فيها الذين كذبوا شعيبا كانوا هم الخاسرين. فتولى عنهم وقال يا قوم لقد أبلغتكم رسالات ربي ونصحت لكم فكيف آسى على قوم كافرين.,"And to the people of Midian [We sent] their brother Shu‘ayb. He said, “O my people, worship Allah; you have no god other than Him. There has come to you a clear proof from your Lord. Give full measure and weight, and do not defraud people of their property[33], and do not spread corruption in the land after it has been set aright. That is best for you, if you are [truly] believers. . Do not lie in wait on every path, threatening and preventing from Allah’s path[34] those who believe in Him, and seeking to make it crooked. Remember when you were few, then He increased you in number. See how was the end of those who spread corruption. . If there are some among you who believe in what I have been sent with, while others do not believe, then be patient until Allah judges between us, and He is the Best of Judges.” . The arrogant chiefs of his people said, “O Shu‘ayb, we will surely drive you and those who believe with you out of our town unless you return to our faith.” He said, “Even if we detest it? . We would be fabricating lies against Allah if we were to return to your faith after Allah has saved us from it. We will not return to it unless Our Lord Allah so wills. Our Lord has full knowledge of everything. In Allah we put our trust. Our Lord, judge between us and our people with truth, for You are the Best of the Judges.” . The disbelieving chiefs of his people said, “If you follow Shu‘ayb, you will certainly be losers[35].” . Then they were seized by the earthquake and they fell lifeless in their homes. . Those who rejected Shu‘ayb became as if they had never lived there. Those who rejected Shu‘ayb were themselves the losers[36]. . So he turned away from them and said, “O my people, I did convey to you the messages of my Lord, and gave you sincere advice. Why should I grieve for a disbelieving people?”"
101,من هم قوم شعيب؟,Who were the people of Shu'ayb?,11:84-88,1,11,84,88,وإلى مدين أخاهم شعيبا قال يا قوم اعبدوا الله ما لكم من إله غيره ولا تنقصوا المكيال والميزان إني أراكم بخير وإني أخاف عليكم عذاب يوم محيط. ويا قوم أوفوا المكيال والميزان بالقسط ولا تبخسوا الناس أشياءهم ولا تعثوا في الأرض مفسدين. بقيت الله خير لكم إن كنتم مؤمنين وما أنا عليكم بحفيظ. قالوا يا شعيب أصلاتك تأمرك أن نترك ما يعبد آباؤنا أو أن نفعل في أموالنا ما نشاء إنك لأنت الحليم الرشيد. قال يا قوم أرأيتم إن كنت على بينة من ربي ورزقني منه رزقا حسنا وما أريد أن أخالفكم إلى ما أنهاكم عنه إن أريد إلا الإصلاح ما استطعت وما توفيقي إلا بالله عليه توكلت وإليه أنيب.,"And to the people of Midian We sent their brother Shu‘ayb. He said, “O my people, worship Allah; you have no god besides Him. Do not give short measure or weight[49]. I see that you are in prosperity, but I fear for you the punishment of an encompassing Day. . O my people, give full measure and weight with justice and do not defraud people of their dues, nor go about spreading corruption on earth. . What remains from the provision of Allah is far better[50], if you are [true] believers; I am not a keeper over you.” . They said, “O Shu‘ayb, does your prayer command you that we should forsake what our forefathers worshiped, or that we should give up dealing with our wealth as we please? Indeed, you are such a forbearing and right-minded man![51]” . He said, “O my people, what do you think, if I should have a clear proof from my Lord, and He has given me good provision from Himself. I do not want to go against what I am forbidding you. I only want to put things right to the best of my ability. My success only comes through Allah; in Him I put my trust and to Him I turn."
101,من هم قوم شعيب؟,Who were the people of Shu'ayb?,26:176-191,1,26,176,191,كذب أصحاب الأيكة المرسلين. إذ قال لهم شعيب ألا تتقون. إني لكم رسول أمين. فاتقوا الله وأطيعون. وما أسألكم عليه من أجر إن أجري إلا على رب العالمين. أوفوا الكيل ولا تكونوا من المخسرين. وزنوا بالقسطاس المستقيم. ولا تبخسوا الناس أشياءهم ولا تعثوا في الأرض مفسدين. واتقوا الذي خلقكم والجبلة الأولين. قالوا إنما أنت من المسحرين. وما أنت إلا بشر مثلنا وإن نظنك لمن الكاذبين. فأسقط علينا كسفا من السماء إن كنت من الصادقين. قال ربي أعلم بما تعملون. فكذبوه فأخذهم عذاب يوم الظلة إنه كان عذاب يوم عظيم. إن في ذلك لآية وما كان أكثرهم مؤمنين. وإن ربك لهو العزيز الرحيم.,"The people of the Forest[22] rejected the messengers. . When Shu‘ayb said to them, “Will you not fear Allah? . I am a trustworthy messenger to you, . so fear Allah, and obey me. . I do not ask you for any reward for this; my reward is only with the Lord of the worlds. . Give full measure and do not be of those who defraud others, . and weigh with accurate scales, . and do not defraud people of their goods, nor go about in the land spreading corruption. . And fear the One Who created you and the former peoples[23].” . They said, “You are truly bewitched! . You are only a human being like us, and we think you are nothing but a liar. . So cause pieces of the sky to fall upon us, if you are of the truthful.” . Shu‘ayb said, “My Lord knows best whatever you do.” . Thus they rejected him, so they were seized by the punishment of the cloudy day; it was the punishment of a horrible day. . Indeed, there is a sign in this, yet most of them would not believe. . Your Lord is indeed the All-Mighty, the Most Merciful."
101,من هم قوم شعيب؟,Who were the people of Shu'ayb?,29:36-37,1,29,36,37,وإلى مدين أخاهم شعيبا فقال يا قوم اعبدوا الله وارجوا اليوم الآخر ولا تعثوا في الأرض مفسدين. فكذبوه فأخذتهم الرجفة فأصبحوا في دارهم جاثمين.,"To the people of Midian we sent their brother Shu‘ayb. He said, “O my people, worship Allah and expect the Last Day, and do not go about spreading corruption in the land.” . But they rejected him, so an earthquake seized them and they fell lifeless in their homes."
102,من هم قوم موسى؟,Who were the people of Moses?,7:103-108,1,7,103,108,ثم بعثنا من بعدهم موسى بآياتنا إلى فرعون وملئه فظلموا بها فانظر كيف كان عاقبة المفسدين. وقال موسى يا فرعون إني رسول من رب العالمين. حقيق على أن لا أقول على الله إلا الحق قد جئتكم ببينة من ربكم فأرسل معي بني إسرائيل. قال إن كنت جئت بآية فأت بها إن كنت من الصادقين. فألقى عصاه فإذا هي ثعبان مبين. ونزع يده فإذا هي بيضاء للناظرين.,"Then We sent after them Moses[40] with Our signs to Pharaoh and his chiefs, but they wrongfully rejected them. See how was the end of those who spread corruption. . Moses said, “O Pharaoh, I am a messenger from the Lord of the worlds. . I am obliged to say nothing concerning Allah except the truth. I have come to you with clear proof from your Lord, so let the Children of Israel go[41] with me.” . Pharaoh said, “If you have brought a sign, then bring it forth if you are truthful.” . So he threw his staff, and it suddenly became a real serpent[42]. . And he drew out his hand, and it was shining white[43] to the beholders."
102,من هم قوم موسى؟,Who were the people of Moses?,10:74-78,1,10,74,78,ثم بعثنا من بعده رسلا إلى قومهم فجاءوهم بالبينات فما كانوا ليؤمنوا بما كذبوا به من قبل كذلك نطبع على قلوب المعتدين. ثم بعثنا من بعدهم موسى وهارون إلى فرعون وملئه بآياتنا فاستكبروا وكانوا قوما مجرمين. فلما جاءهم الحق من عندنا قالوا إن هذا لسحر مبين. قال موسى أتقولون للحق لما جاءكم أسحر هذا ولا يفلح الساحرون. قالوا أجئتنا لتلفتنا عما وجدنا عليه آباءنا وتكون لكما الكبرياء في الأرض وما نحن لكما بمؤمنين.,"Then We sent after him messengers to their [own] peoples; they came to them with clear proofs, but they would not believe in what they had already rejected beforehand[55]. This is how We seal the hearts of the transgressors. . Then We sent after them Moses and Aaron with Our signs to Pharaoh and his chiefs, but they showed arrogance and were wicked people. . So when the truth came to them from Us, they said, “This is indeed a clear magic!” . Moses said, “Do you say this about the truth after it has come to you? Can this be magic? But magicians will never succeed.” . They said, “Have you come to turn us away from what we found our forefathers following, so that you two might become supreme in the land? We will never believe in you[56]!”"
102,من هم قوم موسى؟,Who were the people of Moses?,11:96-99,1,11,96,99,ولقد أرسلنا موسى بآياتنا وسلطان مبين. إلى فرعون وملئه فاتبعوا أمر فرعون وما أمر فرعون برشيد. يقدم قومه يوم القيامة فأوردهم النار وبئس الورد المورود. وأتبعوا في هذه لعنة ويوم القيامة بئس الرفد المرفود.,"And We sent Moses with Our signs[52] and compelling proof . to Pharaoh and his courtiers, but they followed the command of Pharaoh, even though the command of Pharaoh was misguided. . He will be at the forefront of his people on the Day of Resurrection, leading them into the Fire. What a terrible place to be led to! . They were pursued by a curse[53] in this world as well as on the Day of Resurrection. What a terrible gift to receive!"
102,من هم قوم موسى؟,Who were the people of Moses?,17:2-8,1,17,2,8,وآتينا موسى الكتاب وجعلناه هدى لبني إسرائيل ألا تتخذوا من دوني وكيلا. ذرية من حملنا مع نوح إنه كان عبدا شكورا. وقضينا إلى بني إسرائيل في الكتاب لتفسدن في الأرض مرتين ولتعلن علوا كبيرا. فإذا جاء وعد أولاهما بعثنا عليكم عبادا لنا أولي بأس شديد فجاسوا خلال الديار وكان وعدا مفعولا. ثم رددنا لكم الكرة عليهم وأمددناكم بأموال وبنين وجعلناكم أكثر نفيرا. إن أحسنتم أحسنتم لأنفسكم وإن أسأتم فلها فإذا جاء وعد الآخرة ليسوءوا وجوهكم وليدخلوا المسجد كما دخلوه أول مرة وليتبروا ما علوا تتبيرا. عسى ربكم أن يرحمكم وإن عدتم عدنا وجعلنا جهنم للكافرين حصيرا.,"We gave Moses the Scripture and made it a guide for the Children of Israel, “Do not take besides Me anyone as a Disposer of Affairs[1]. . O descendants of those whom We carried [on board] with Noah[2]. He was indeed a grateful slave.” . We declared to the Children of Israel in the Scripture, “You will surely spread corruption on earth twice, and you will surely become exceedingly arrogant[3]. . When the first of the two warnings came to pass, We sent against you some of Our slaves of great might, and they ravaged through the land[4]; this warning was bound to be fulfilled[5]. . Then We gave you the upper hand over them and strengthened you with wealth and children, and made you greater in number. . If you do good, it is for your own good, but if you do evil, it is to your own loss. Then when the second warning came to pass, your enemies would disgrace and suppress you[6], and enter the Temple [of Jerusalem][7] as they entered it the first time, and utterly destroy whatever fell into their power[8]. . Your Lord may bestow mercy upon you, but if you return [to sin], We will return [to punishment][9]. And We have made Hell a prison for the disbelievers.”"
102,من هم قوم موسى؟,Who were the people of Moses?,17:101-104,1,17,101,104,ولقد آتينا موسى تسع آيات بينات فاسأل بني إسرائيل إذ جاءهم فقال له فرعون إني لأظنك يا موسى مسحورا. قال لقد علمت ما أنزل هؤلاء إلا رب السماوات والأرض بصائر وإني لأظنك يا فرعون مثبورا. فأراد أن يستفزهم من الأرض فأغرقناه ومن معه جميعا. وقلنا من بعده لبني إسرائيل اسكنوا الأرض فإذا جاء وعد الآخرة جئنا بكم لفيفا.,"We gave Moses nine clear signs. Ask the Children of Israel when he came to them, Pharaoh said to him, “O Moses, I certainly think that you are bewitched[82].” . Moses said, “You already know that none sent down these [signs] except the Lord of the heavens and earth as clear proofs, and I certainly think that you, O Pharaoh, are doomed!” . So he decided to exile them out of the land, but We drowned him and all those who were with him. . Thereafter[83] We said to the Children of Israel, “Dwell in the land, but when the promise of the Hereafter comes, We will bring you all together.”"
102,من هم قوم موسى؟,Who were the people of Moses?,20:17-24,1,20,17,24,وما تلك بيمينك يا موسى. قال هي عصاي أتوكأ عليها وأهش بها على غنمي ولي فيها مآرب أخرى. قال ألقها يا موسى. فألقاها فإذا هي حية تسعى. قال خذها ولا تخف سنعيدها سيرتها الأولى. واضمم يدك إلى جناحك تخرج بيضاء من غير سوء آية أخرى. لنريك من آياتنا الكبرى. اذهب إلى فرعون إنه طغى.,"What is that in your right hand, O Moses?” . He said, “It is my staff. I lean on it and beat down leaves with it for my sheep, and I have other uses for it.”[6] . Allah said, “Throw it down, O Moses!” . He threw it down, and it suddenly became a slithering snake. . Allah said, “Pick it up and have no fear. We will restore it to its former state. . Put your hand under your armpit; it will come out shining white without blemish, as another sign[7], . so that We may show you some of Our greatest signs. . Go to Pharaoh, for he has transgressed all bounds.”"
