surah_number,ayah_start,ayah_end,aljalalyn_tafseer,english_quran_passage,footnote
1,1,4,"In the Name of God, the Compassionate, the Merciful: Praise be to God, is a predicate of a nominal clause, the content of which is intended to extol God 
[by Stating that]: He possesses the praise of all creatures, or that He [alone] deserves their praise. God 
is a proper noun for the One truly worthy of worship; Lord of all Worlds, that is, [He is] the One Who 
owns all of creation: humans, jinn, angels, animals and others as well, each of which may be referred to 
as a ‘world’; one says ‘the world of men, or ‘world of the jinn’ etc. This plural form with the yd’ and the 
nun [sc. ‘dlamin] is used to denote, predominantly, cognizant beings ( ulu him). The expression [' dlamin ] 
relates to [the term] ‘sign’ (‘alamo), since it is an indication of the One that created it. The Compassionate, the Merciful: that is to say, the One who possesses ‘mercy’, which means to 
want what is good for those who deserve it. Matter of the Day of Judgement: that is, [the day of] requite, the Day of Resurrection. The reason 
for the Specific mention [of the Day of Judgement] is that the mastery of none shall appear on that Day 
except that of God, may He be exalted, as is indicated by [God’s words] ‘Whose is the Kingdom today?’ 
‘God’s’ [Q. 40:16] (if one reads it malik [as opposed to malik], then this signifies that He has possession 
of the entire affair on the Day of Resurrection, or else that He is ever described by this [expression], in 
the same way as [He is described as] ‘Forgiver of sin ( ghafir al-dhanb). Thus, one can validly take it as an 
adjective of a definite noun).","In the name of Allah, the Most Compassionate, the Most Merciful . All praise be to Allah[1], the Lord[2] of the worlds[3], . the Most Compassionate, the Most Merciful[4], . Master[5] of the Day of Judgment.","[1] Allah is God’s most unique name.
 [2] The Arabic term ""rabb"" (translated as ""Lord"") includes all of the following meanings: ""owner, master, ruler, controller, sustainer, provider, guardian and caretaker.""
 [3] ""the worlds"" means mankind, jinn, and all that exists. . [4] Ar-Rahmān and Ar-Raheem are two names of Allah: Rahmān is used only to describe Allah, while raheem might be used to describe a human as well. Rahmān carries a wider meaning - merciful to all creation. Justice is a part of this mercy. Raheem includes the concept of specialty - especially merciful to the believers. Forgiveness is a part of this mercy. In addition, Rahmān is adjectival, referring to an attribute of Allah and is part of His essence. Raheem is verbal, indicating what He does: i.e., bestowing and implementing mercy. . [5] Other meanings for ""Mālik"": Sovereign, Owner, etc."
1,5,6,"You [alone] we worship, and You [alone] we ask for help: that is to say, we reserve worship for You 
[alone] by way of acknowledging Your Oneness ( tawhid) and so on, and we ask for [Your] assistance in 
worship and in other things. Guide us to the straight path: that is, ‘show us the way to it’. This is substituted by:","You alone we worship, and You alone we ask for help. . Guide us to the straight path,",
1,7,7,"the path of those whom You have favoured, with guidance (from alladhina together with its rela¬ 
tive clause is substituted by [ghayri l-maghdubi ‘alayhim]) not [ the path] of those againtt whom there is 
wrath, namely, the Jews, and nor of those who are attray, namely, the Christians. The subtle meaning im¬ 
plied by this substitution is that the guided ones are neither the Jews nor the Christians. But God knows 
beSt what is right, and to Him is the Return and the [final] Resort. May God bless our lord Muhammad 
(5), his Family and Companions and grant them everlasting peace. Sufficient is God for us; an excellent 
Guardian is He. There is no power and no Strength save in God, the High, the Tremendous. 


[2] al-Baqara 


Medinese: [consisting of] 286 or 287 verses. 

In the Name of God, the Compassionate, the Merciful:","the path of those whom You have blessed[6]; not of those who incurred Your Wrath[7], or of those who went astray[8].","[6] The way of the Prophets and those who follow them.
 [7] Those who know the Truth and do not follow it, like the Jews.
 [8] Those who are ignorant of the Truth and follow misguidance, like the Christians."
2,1,2,"Alifldm mim: God knows best what He means by these [letters]. T hat, meaning, this, Book, which Muhammad (s) recites, in it there is no doubt, no uncertainty, 
that it is from God (the negation [la raybafihi ] is the predicate of dhalika; the use of the demonstrative 
here is intended to glorify [the Book]). A guidance (huda is a second predicate, meaning that it [the 
Book] guides’), for the God-fearing, namely, those that tend towards piety by adhering to commands 
and avoiding things prohibited, thereby guarding themselves from the Fire;","Alif Lām Mīm[1]. . This is the Book about which there is no doubt, a guidance for the righteous[2],","[1] Allah knows the meaning of these disjointed Arabic letters. This bears testimony to the inimitable nature of the Qur’an and its divine source. . [2] Literally, ""those who have taqwā,"" i.e., who have piety, righteousness, fear and love of Allah, and who take great care of avoiding His displeasure."
2,3,5,"who believe in, that is, who accept the truth of, the Unseen, what is hidden from them of the Resur¬ 
rection, Paradise and the Fire; and maintain the prayer, that is to say, who perform it giving it its proper 
due; and of what We have provided them, that is, of what we have beStowed upon them, expend, in 
obedience to God; and who believe in what has been revealed to you, namely, the Qur’an; and what was revealed 
before you, that is, the Torah, the GoSJjel and other [scriptures]; and of the Hereafter, they are certain, 
that is, they know [it is real]. Those, as described in the way mentioned, are upon guidance from their Lord, those are the ones 
that will prosper, that is, who will succeed in entering Paradise and be saved from the Fire.","those who believe in the unseen, establish prayer[3], and spend out of what We[4] have provided for them, . and those who believe in what has been sent down to you [O Prophet] and in what was sent down before you[5], and in the Hereafter they believe with certainty. . It is they who are upon guidance from their Lord, and it is they who are successful.","[3] At its proper times and fulfill its all conditions. [4] ""We"" in reference to Allah in the Qur’anic verses is necessarily understood to denote grandeur and power. . [5] i.e., the Taurāt (Torah) and the Injīl (Gospel), etc."
2,6,7,"As for the disbelievers, the likes of Abu Jahl, Abu Lahab and such; alike it is for them whether you 
have warned them or have not warned them, they do not believe, as God knows very well, so do not 
hope that they will believe (read a-andhartahum pronouncing both hamzas, or by not pronouncing the 
second, making it an alif instead, and inserting an alif between the one not pronounced and the other 
one, or leaving [this insertion]; al-indhar [‘warning’] is to give knowledge of something, and simultane¬ 
ously instil an element of fear). God has set a seal on their hearts, impressing on them and making certain that no good enters 
them; and on their hearing, [in which He has] deposited something so that they cannot profit from the 
truth they hear; and on their eyes is a covering, that is, a veil so that they do not see the truth; and for 
them there will be a mighty chastisement, that is, intense and everlasting.","Those who persist in disbelief, it is the same whether you warn them or not, they will not believe. . Allah has sealed their hearts and their hearing, and their sight is covered[6]; and for them there will be a great punishment.","[6] A covering preventing from discerning guidance, as a result of their arrogance and persistence in sin."
2,8,16,"The following was revealed concerning the hypocrites: and some people there are who say, ‘We 
believe in God and the LaSt Day’, that is, in the Day of Resurrection because it is the very la St day; but 
they are not believers (the [plural] import of man [in man yaqiil, ‘who says’] is taken into account here, 
as expressed by a pronoun [hum] that expresses this [plural] meaning). I 7 i ey would deceive God and the believers, by manifesting the opposite of the unbelief they hide, so 
that they can avoid His rulings in this world; and only themselves they deceive ( yukhadiun ), for the evil 
consequences of their deception will rebound upon them, as they are disgraced in this world when God 
makes known to His Prophet what they are hiding, and they will be punished in the Hereafter; and they 
are not aware, and they do not know that they are actually deceiving themselves ( mukhadaa [although 
a third verbal form, from khada’a] actually denotes a one-way acftion, such as [when one says] ‘dqabtu al- 
lissa, ‘I punished the thief’ [using the third verbal form ‘ aqaba ]; the mention of‘God’ in [this Statement] 
is for [rhetorical] effecft; a variant reading [for wa-ma yukhadi’una] has wa-ma yakhda’una). In their hearts is a sickness: doubt and hypocrisy, which ails their hearts, debilitating them; 
and God has increased their sickness with what He has revealed in the Qur’an, since they disbelieve 
it; and there awaits them a painful chastisement because they used to lie (read yukadhdhibun to 
imply [that they used to call] the Prophet of God [a liar], or yakdhibiin to imply their [mendacity 


Sura al-Baqara 

when] saying ‘we believe’). When it is said to them, that is, these latter, ‘Do not spread corruption in the land’, through un¬ 
belief and hindering [people from] faith, They say, ‘We are only putting things right’, that is, ‘we are not 
engaging in corruption’. God, exalted be He, refutes them, saying: Truly ( a-la, ‘truly’, is for alerting), intended emphatically, they are the agents of corruption, but 
they perceive, this, not. When it is said to them, ‘Believe as the people believe’, that is, as the Companions of the Prophet 
(5), They say, ‘Shall we believe as fools believe?’, that is, as the ignorant do? No we do not follow their 
way. The exalted One refutes them, saying: Truly, they are the foolish ones, but they know, this, not. When they meet ( laqu is actually laquyii, but the damma has been omitted, being too cumber¬ 
some for pronunciation; likewise the ya [is omitted], because it is unvocalised and is followed by a wdw); 
those who believe, they say, ‘We believe’; but when they go apart, away from them and return, to their 
devils, their leaders, they say, ‘We are with you, in religion; we were only mocking, them [the believers] 
by feigning belief. God [Himself] mocks them, requiting them for their mockery, leaving them, that is, giving them 
recite, in their insolence, that is, in their transgressing the limits of unbelief; bewildered, wavering, in 
perplexity ( ya’mahun is a circumstantial qualifier). Those are they who have bought error for guidance, that is, they have exchanged the latter for the 
former; so their commerce has not profited them, that is to say, they have gained nothing from it, indeed, 
they have loSt, because their destination is the Fire, made everlasting for them; nor are they guided, in 
what they did.","There are some people[7] who say, “We believe in Allah and the Last Day,” whereas they are not believers. . They seek to deceive Allah and those who believe, while they deceive none but themselves, but they do not realize. . In their hearts is a sickness[8], and Allah increased their sickness, and they will have a painful punishment for their persistent lying. . When it is said to them, “Do not spread corruption in the land,” they say, “We are only reformers.” . Indeed, it is they who spread corruption, but they do not realize it. . When it is said to them, “Believe as the people have believed,” they say, “Shall we believe as the fools[9] have believed?” Indeed, it is they who are the fools, but they do not know. . When they meet those who believe, they say, “We believe.” But when they are alone with their evil ones[10], they say, “We are certainly with you; we were only mocking.” . Allah will mock them[11] and prolong them to wander blindly in their transgression. . They are those who purchased misguidance for guidance, but their trade was profitless, and they were not guided.","[7] i.e., the hypocrites. . [8] The ""sickness"" mentioned here includes doubt, hypocrisy, arrogance and disbelief. . [9] The hypocrites were considering the Companions of the Prophet (ﷺ) to be fools, whereas they themselves were fools. . [10] i.e., their leaders in evil and disbelief. . [11] Allah mocks them in response to their mocking Muslims."
2,17,20,"Their likeness, the way they are in their hypocrisy, is as the likeness of one who kindled, that is, 
[one who] lit afire in darkness, and when it illumined all about him, so that he is able to see, and to feel 
warm and secure from those he feared, God took away their light, extinguishing it (the plural pronoun 
[in nurihim] takes into account the [plural] import of alladhi); and left them in darkness, unable to see, 
what is around them, confused as to the way, in fear; likewise are those who have found [temporary] 
security by professing faith, but who will meet with terror and punishment upon death; these [laSt] are: deaf, to the truth, so that they cannot hear it and accept it; dumb, mute as regards goodness, 
unable to s^eak of it; and, blind, to the path of guidance, so that they cannot perceive it; they shall not 
return, from error. Or, the likeness of them is as a cloudburst, that is, [the likeness of them is] as people are during 
rain ( ka-sayyib: the term is originally sayyub, from [the verb] sdba,yasubu, meaning ‘it came down); out 
of the heaven, out of the clouds, in which clouds is darkness, layer upon layer, and thunder, the angel in 
charge of them [sc. the clouds]; it is also said that this [thunder] is actually the sound of his voice; and 
lightning, the flash caused by his voice which he uses to drive them — they, the people under the rain, 
put their fingers, that is, their fingertips, in their ears again SI, because of, the thunderclaps, the violent 
sound of thunder, in order not to hear it, cautious of, fearful of, death, if they were to hear it. Similar is 
the case with these: when the Qur’an is revealed, in which there is mention of the unbelief that is like 
darkness, the threat of punishment that is like the sound of thunder, and the clear arguments that are like 
the clear lightning, they shut their ears in order not to hear it and thereby incline towards [true] faith and 
abandon their religion, which for them would be death; and God encompasses the disbelievers in both 
knowledge and power, so they cannot escape Him. The lightning well-nigh, almost, snatches away their sight, that is, takes it away swiftly; whenso¬ 
ever it gives them light, they walk in it, in its light; and when the darkness is over them, they Stop, that 
is, they “Stand ftill: a simile of the perturbation that the Qur’anic arguments cause in their hearts, and of 
their acknowledging the truths of what they love to hear and recoiling from what they detect; had God 


3 


Tafsir al-Jalalayn 

willed, He would have taken away their hearing and their sight, that is, the exterior faculty, in the same 
way that He took away their inner one; Truly, God has power over all things, [that] He wills, as for ex¬ 
ample, His taking away of the above-mentioned.","Their likeness is that of someone who kindles a fire. When it illuminates all around him, Allah takes away their light, leaving them in utter darkness, unable to see[12]. . Deaf, dumb, and blind; they will not return [to the straight path]. . Or like a downpour from the sky accompanied by darkness, thunder, and lightning. They put their fingers into their ears out of thunderclaps, for fear of death. But Allah encompasses the disbelievers. . The lightning almost snatches away their eyesight. Every time lightning[13] strikes, they walk in its light, but when it becomes dark, they stand still. If Allah had willed, He would have taken away their hearing and their sight; for Allah is Most Capable of all things.","[12] This is the situation of the hypocrites in the darkness of doubt and disbelief, not seeing the truth and guidance. . [13] The parable of lightning is that of the light of the Qur’an."
2,21,22,"O people, ofMecca, worship, profess the oneness of, your Lord Who created you, made you when 
you were nothing, and created those that were before you; so that you may be fearful, of His punish¬ 
ment by worshipping Him [Walla, ‘so that’, is essentially an optative, but when ^oken by God it denotes 
an affirmative), He Who assigned to you, created [for you], the earth for a couch, like a carpet that is laid out, 
neither extremely hard, nor extremely soft so as to make it impossible to £tand firm upon it; and heaven 
for an edifice, like a roof; and sent down from the heaven water, wherewith He brought forth, all types 
of, fruits for your provision; so set not up compeers to God, that is partners in worship, while you know 
that He is the Creator, that you create not and that only One that creates can be God.","O people, worship your Lord, Who created you and those before you, so that you may become righteous; . He Who made the earth a resting place for you, and the sky a canopy; and sends down rain from the sky, and brings forth fruits thereby as a provision for you. So do not set up rivals to Allah while you know[14].","[14] Do not set up rivals to Allah (in worship), Who has provided you with all these things, and you know that He alone is worthy of worship."
2,23,24,"And if you are in doubt, in uncertainty, concerning what We have revealed to Our servant, 
Muhammad (s), of the Qur’an, that it is from God, then bring a sura like it, that is also revealed ( min 
mithlihi: min is explicative, that is, a sura like it in its eloquence, fine arrangement and its bestowal of 
knowledge of the Unseen; a sura is a passage with a beginning and end made up of a minimum of three 
verses); and call your witnesses, those other gods that you worship, besides God, that is, other than Him, 
so that it can be seen, if you are truthful, in [your claim] that Muhammad (s) speaks it from himself. So 
do this, for you are also fluent speakers of Arabic like him. When they could not do this, God said: And if you do not, do what was mentioned because you are incapable, and you will not (a par¬ 
enthetical statement), that is, never [will you be able to], because of its inimitability, 1 then fear, through 
belief in God and [belief] that this is not the words of a human, the Fire, whose fuel is men, disbeliev¬ 
ers, and Ttones, like their very idols, indicating that its heat is extreme, since it burns with the [Atones] 
mentioned, unlike the fires of this world that burn with wood and similar materials; prepared, and made 
ready, for disbelievers, so that they are punished in it (this [phrase, uiddat li’l-kafirina, ‘prepared for 
disbelievers’] is either a new sentence or a sustained circumstantial qualifier).","If you are in doubt concerning that which We have sent down upon Our slave[15], then produce a chapter like it and call upon your helpers other than Allah, if you are truthful. . But if you did not do it, and you can never do it; then beware of the Fire whose fuel will be people and stones, which is prepared for the disbelievers.",[15] “Our servant” is referring to Muhammad (ﷺ).
