hadith_id,hadith,source_hadith_id,source_name,Hadith_number,Chapter_English,English_Hadith,Chapter_Arabic,Arabic_Hadith
1.0,عَنْ عُمَرَ بْنِ الْخَطَّابِ - رضي الله عنه - قَالَ: سَمِعْتُ رَسُولَ اللَّهِ - صلى الله عليه وسلم - يَقُولُ: «إِنَّمَا الأَعْمَالُ بِالنِّيَّاتِ، وَإِنَّمَا لِكُلِّ امْرِئٍ مَا نَوَى، فَمَنْ كَانَتْ هِجْرَتُهُ إِلَى دُنْيَا يُصِيبُهَا أَوْ إِلَى امْرَأَةٍ يَنْكِحُهَا فَهِجْرَتُهُ إِلَى مَا هَاجَرَ إِلَيْهِ».,1,بخاري,,,,,
10.0,عَنْ عَبْدِ اللَّهِ بْنِ عَمْرٍو - رضي الله عنهما - عَنِ النَّبِيِّ - صلى الله عليه وسلم - قَالَ: «الْمُسْلِمُ مَنْ سَلِمَ الْمُسْلِمُونَ مِنْ لِسَانِهِ وَيَدِهِ، وَالْمُهَاجِرُ مَنْ هَجَرَ مَا نَهَى اللَّهُ عَنْهُ».,10,بخاري,,,,,
86.0,عَنْ عَبْدِ اللَّهِ بْنِ عَمْرِو بْنِ الْعَاصِ - رضي الله عنهما - قَالَ: سَمِعْتُ رَسُولَ اللَّهِ - صلى الله عليه وسلم - يَقُولُ: «إِنَّ اللَّهَ لَا يَقْبِضُ الْعِلْمَ انْتِزَاعًا يَنْتَزِعُهُ مِنَ الْعِبَادِ، وَلَكِنْ يَقْبِضُ الْعِلْمَ بِقَبْضِ الْعُلَمَاءِ حَتَّى إِذَا لَمْ يُبْقِ عَالِمًا اتَّخَذَ النَّاسُ رُءُوسًا جُهَّالًا فَسُئِلُوا فَأَفْتَوْا بِغَيْرِ عِلْمٍ فَضَلُّوا وَأَضَلُّوا».,100,بخاري,,,,,
546.0,عَنْ أَنَسٍ - رضي الله عنه -: أنَّهُ سُئِلَ: أَقَنَتَ النَّبِيُّ - صلى الله عليه وسلم - فِي الصُّبْحِ؟ قَالَ: نَعَمْ. فَقِيلَ لَهُ: أَوَقَنَتَ قَبْلَ الرُّكُوعِ؟ قَالَ: بَعْدَ الرُّكُوعِ يَسِيرًا.,1001,بخاري,,,,,
547.0,عن أَنَسٍ - رضي الله عنه -: أنَّهُ سُئِلَ عَنِ الْقُنُوتِ فَقَالَ: قَدْ كَانَ الْقُنُوتُ، فَقِيْلَ لَهُ: قَبْلَ الرُّكُوعِ أَوْ بَعْدَهُ؟ قَالَ: قَبْلَهُ. قَالَ: فَإِنَّ فُلانًا أَخْبَرَنِي عَنْكَ أَنَّكَ قُلْتَ بَعْدَ الرُّكُوعِ. فَقَالَ: كَذَبَ، إِنَّمَا قَنَتَ رَسُولُ اللَّهِ - صلى الله عليه وسلم - بَعْدَ الرُّكُوعِ شَهْرًا، أُرَاهُ كَانَ بَعَثَ قَوْمًا يُقَالُ لَهُمُ الْقُرَّاءُ زُهَاءَ سَبْعِينَ رَجُلًا إِلَى قَوْمٍ مِنَ الْمُشْرِكِينَ دُونَ أُولَئِكَ، وَكَانَ بَيْنَهُمْ وَبَيْنَ رَسُولِ اللَّهِ - صلى الله عليه وسلم - عَهْدٌ، فَقَنَتَ رَسُولُ اللَّهِ - صلى الله عليه وسلم - شَهْرًا يَدْعُو عَلَيْهِمْ.,1002,بخاري,,,,,
548.0,وَفِيْ رِوَايَةٍ عَنْهُ - رضي الله عنه - قالَ: قَنَتَ النَّبِيُّ - صلى الله عليه وسلم - شَهْرًا يَدْعُو عَلَى رِعْلٍ وَذَكْوَانَ.,1003,بخاري,,,,,
549.0,وَعَنْهُ - رضي الله عنه - قَالَ: كَانَ الْقُنُوتُ فِي الْمَغْرِبِ وَالْفَجْرِ.,1004,بخاري,,,,,
550.0,عَنْ عَبْدِ اللهِ بْنِ زَيْدٍ - رضي الله عنه - قَالَ: خَرَجَ النَّبِيُّ - صلى الله عليه وسلم - يَسْتَسْقِي وَحَوَّلَ رِدَاءَهُ.,1005,بخاري,,,,,
552.0,عَنْ أَبِي هُرَيْرَةَ - رضي الله عنه - حَدِيْثُ دُعَاءِ النَّبِيِّ - صلى الله عليه وسلم - للْمُسْتَضْعَفِينَ مِنَ الْمُؤْمِنِينَ وعَلَى مُضَرَ تَقَدَّمَّ وَقَالَ فِيْ آخِرِ هذِهِ الرِّوَايَةِ: إِنَّ النَّبِيَّ - صلى الله عليه وسلم - قَالَ: «غِفَارُ غَفَرَ اللَّهُ لَهَا وَأَسْلَمُ سَالَمَهَا اللَّهُ».,1006,بخاري,,,,,
553.0,عَنْ عَبْدِ اللَّهِ بْنِ مَسْعُوْدٍ - رضي الله عنه - قَالَ: إِنَّ النَّبِيَّ - صلى الله عليه وسلم - لَمَّا رَأَى مِنَ النَّاسِ إِدْبَارًا قَالَ: «اللَّهُمَّ سَبْعٌ كَسَبْعِ يُوسُفَ». فَأَخَذَتْهُمْ سَنَةٌ حَصَّتْ كُلَّ شَيْءٍ حَتَّى أَكَلُوا الْجُلُودَ وَالْمَيْتَةَ وَالْجِيَفَ، وَيَنْظُرَ أَحَدُهُمْ إِلَى السَّمَاءِ فَيَرَى الدُّخَانَ مِنَ الْجُوعِ، فَأَتَاهُ أَبُو سُفْيَانَ فَقَالَ: يَا مُحَمَّدُ، إِنَّكَ تَأْمُرُ بِطَاعَةِ اللَّهِ وَبِصِلَةِ الرَّحِمِ وَإِنَّ قَوْمَكَ قَدْ هَلَكُوا فَادْعُ اللَّهَ لَهُمْ، قَالَ اللَّهُ تَعَالَى: {فَارْتَقِبْ يَوْمَ تَأْتِي السَّمَاءُ بِدُخَانٍ مُبِينٍ} إِلَى قَوْلِهِ: {إِنَّكُمْ عَائِدُونَ يَوْمَ نَبْطِشُ الْبَطْشَةَ الْكُبْرَى إِنَّا مُنْتَقِمُونَ} فَالْبَطْشَةُ يَوْمَ بَدْرٍ، وَقَدْ مَضَتِ الدُّخَانُ وَالْبَطْشَةُ وَاللِّزَامُ وَآيَةُ الرُّومِ.,1007,بخاري,,,,,
554.0,عَنِ ابْنِ عُمَرَ - رضي الله عنهما - قَالَ: رُبَّمَا ذَكَرْتُ قَوْلَ الشَّاعِرِ وَأَنَا أَنْظُرُ إِلَى وَجْهِ النَّبِيِّ - صلى الله عليه وسلم - يَسْتَسْقِي فَمَا يَنْزِلُ حَتَّى يَجِيشَ كُلُّ مِيزَابٍ، وَهُوَ قَوْلُ أَبِيْ طَالِبٍ: وَأَبْيَضَ يَسْتَسْقَى الْغَمَامُ بِوَجْهِهِ ثِمَالُ الْيَتَامَى عِصْمَةٌ للأَرَامِلِ,1009,بخاري,,,,,
555.0,عَنْ عُمَرَ بْنِ الْخَطَّابِ - رضي الله عنه -: أنّه كَانَ إِذَا قَحَطُوا اسْتَسْقَى بِالْعَبَّاسِ بْنِ عَبْدِ الْمُطَّلِبِ - رضي الله عنه -، فَقَالَ: اللَّهُمَّ إِنَّا كُنَّا نَتَوَسَّلُ إِلَيْكَ بِنَبِيِّنَا فَتَسْقِينَا وَإِنَّا نَتَوَسَّلُ إِلَيْكَ بِعَمِّ نَبِيِّنَا فَاسْقِنَا، قَالَ: فَيُسْقَوْنَ.,1010,بخاري,,,,,
551.0,وَفِيْ رِوَايَةٍ عَنْهُ قَالَ: وَصَلَّى رَكْعَتَيْنِ.,1012,بخاري,,,,,
